id;name;description;absence;fill_day;reduce
1;mobile Fish;Home Loan Account Table Computer;false;false;true
2;Savings Account alarm;Tasty Metal Bacon;true;false;false
3;Officer;methodology Albania;false;false;false
4;Investment Account Steel;Coordinator;false;false;false
5;Savings Account syndicate Planner;Refined Rubber Chicken Table;false;false;true
6;Planner cross-platform access;Public-key;false;false;true
7;Investment Account;Games Regional Digitized;true;true;false
8;Costa Rica Mayotte;Industrial;true;true;false
9;e-enable Communications capacitor;Awesome;false;true;false
10;software scale interactive;Louisiana Specialist Home Loan Account;false;false;false
